z,mu_q16,mu_q50,mu_q84
0.02,38.797497018516054,38.80252727259421,38.80778248169377
0.03975,38.83785529645687,38.84288102315995,38.8481329471189
0.0595,38.87730337886289,38.88231863697722,38.8875749158205
0.07925,38.91584889523705,38.92086776194111,38.926123833811374
0.099,38.95353550775821,38.958545994054845,38.96381431140673
0.11875000000000001,38.99038021406308,38.99538495168264,39.00065694223838
0.13849999999999998,39.026400136115214,39.03141264178167,39.03668119766981
0.15825,39.06163254412252,39.06664444383057,39.071910415561305
0.178,39.09608749509335,39.10110276339499,39.106367103912824
0.19774999999999998,39.129790657537455,39.13480847861733,39.140072360072246
0.2175,39.162761496364915,39.16778145495194,39.17304307899914
0.23725,39.19502082324034,39.20004670445543,39.2053045625522
0.257,39.22659019881611,39.2316202397367,39.23687585612463
0.27675,39.25748814043833,39.262521057956505,39.267775637182766
0.29650000000000004,39.287732483996656,39.29277158097203,39.29802180634129
0.31625000000000003,39.317340411235605,39.32238596009686,39.32763154083149
0.336,39.34632847822485,39.3513778004783,39.35662139393255
0.35575,39.374712643027756,39.37976453564653,39.38500732208068
0.3755,39.402508292355954,39.40756218146436,39.41280471112951
0.39525000000000005,39.42973101860536,39.4347860343834,39.440028402045
0.41500000000000004,39.456395406088234,39.461450705206886,39.466692717076455
0.43475,39.482516034818765,39.4875695133334,39.4928114826171
0.4545,39.5081055877077,39.51315566261225,39.518398052567626
0.47425,39.53317590886916,39.5382229848603,39.54346533071504
0.494,39.557739394232286,39.562783801333396,39.56802579122049
0.51375,39.58180811713187,39.586850206609924,39.59209149897254
0.5335,39.60539375845331,39.610433512637755,39.61567412798945
0.55325,39.62850762435064,39.63354526521565,39.638784978834366
0.5730000000000001,39.65116050426477,39.6561983621024,39.661438133118295
0.59275,39.67336099812096,39.67840124413344,39.683641157331195
0.6125,39.6951215488409,39.70016264058712,39.70540423673305
0.63225,39.716452129770914,39.72149401855985,39.72673734406647
0.652,39.73736241660123,39.742405675884,39.74764993140676
0.6717500000000001,39.757861800391936,39.76290675112545,39.76815300121803
0.6915,39.77795939969254,39.783006049740976,39.78825508915932
0.71125,39.79766412740872,39.802711155586415,39.80796037342637
0.731,39.816984572214125,39.82203184767693,39.82728480513616
0.75075,39.83592827982696,39.840978658146625,39.846233782589394
0.7705000000000001,39.85450333952979,39.859557661354025,39.86481495448003
0.79025,39.87271849367412,39.877776773528886,39.88303623712166
0.81,39.890581447603516,39.89564358898088,39.90090533550605
0.82975,39.90809970159895,39.91316513873312,39.91842974955641
0.8495,39.925280560186806,39.930349306362416,39.93561587117465
0.8692500000000001,39.94213114775004,39.947203207460454,39.95246968944053
0.889,39.958658411793486,39.963732077034976,39.96900018308532
0.9087500000000001,39.97486908860721,39.97994432170158,39.98521411064577
0.9285,39.990769767740616,39.995847747951004,40.001118061593765
0.94825,40.0063668758664,40.01144761696759,40.01671846251506
0.968,40.021666682908226,40.02675019851951,40.03202158323609
0.98775,40.03667530583428,40.04176210559361,40.04703354061763
1.0075,40.05139871493684,40.05649127004338,40.0617613060387
1.02725,40.06584273965099,40.07094045278046,40.076211400479075
1.047,40.08001388004609,40.085114141282055,40.09038780974061
1.06675,40.093916654573114,40.09901969543389,40.1042954909509
1.0865,40.10755659943839,40.11266254466973,40.117939206183216
1.10625,40.120940994784306,40.12604730896395,40.13132553091057
1.1260000000000001,40.13407107667858,40.13918065982327,40.144459648906064
1.14575,40.146953242562,40.15206685852739,40.157346626291385
1.1655,40.159593201429956,40.16471085714237,40.169991415118226
1.1852500000000001,40.171995795016755,40.17711749711739,40.18239885681635
1.205,40.18416696001732,40.18929049730289,40.19457368543046
1.22475,40.19611027292981,40.20123559377237,40.20652053066886
1.2445,40.20783011713334,40.21295845938626,40.21824392075679
1.26425,40.21933115384963,40.224462526897504,40.229748285120834
1.284,40.230619591820385,40.235751891909274,40.24103795689604
1.30375,40.24169767225481,40.24683005528374,40.252117175645765
1.3235000000000001,40.25256997582364,40.257701426789296,40.26299015383735
1.34325,40.26323963841512,40.26837054147756,40.27366259356787
1.363,40.27370959644643,40.27884137270771,40.28413684886249
1.38275,40.28398515927008,40.28911574640732,40.29441671761961
1.4025,40.29407013289201,40.299198728436735,40.30450600552368
1.42225,40.303968245947395,40.30909713436529,40.314406982839905
1.442,40.31368314660622,40.318811607931366,40.32412447174025
1.46175,40.323218407703976,40.32834820348482,40.33366251102441
1.4815,40.33257752846229,40.337708972837014,40.343024229676644
1.50125,40.34176393346801,40.34689616477899,40.352213240306355
1.5210000000000001,40.35078097725415,40.35591450750128,40.361232897249046
1.54075,40.35963232973205,40.36476508655675,40.37008619580377
1.5605,40.36832134036741,40.37345277723518,40.37877658133713
1.58025,40.376850643202566,40.3819807706448,40.38730726205843
1.6,40.38522332435256,40.390355432252505,40.39568132397831
